Nombre,Ciudad,Estado,Tipo de Club,Canchas,Precio Hora Pico,Precio Hora Valle,Latitud,Longitud
198 Padel Club,Medellin,Abierto,Club de Pádel,1.0," $170,000"," $110,000",6.024320299999999,-75.75165109999999
4 Palas Bga,Bucaramanga,Abierto,Club de Pádel,2.0," $100,000"," $60,000",7.111015,-73.1189895
Arena Padel Club,Santa Marta,Abierto,Club Deportivo MIxto,3.0," $120,000"," $80,000",11.1831573,-74.2254992
Arena Sport Club Padel,Medellin,Abierto,Club de Pádel,4.0," $210,000"," $105,000",6.1558475,-75.53314069999999
Azotea Padel Club,Bogota,Abierto,Club de Pádel,1.0," $100,000"," $80,000",4.7186467,-74.04666960000002
Bet Padel Club,Cucuta,Abierto,Club de Pádel,2.0," $100,000"," $50,000",,
Bogotá Pádel Center,Bogota,Abierto,Club de Pádel,4.0," $140,000"," $80,000",4.751503,-74.0480738
Bogotá Pádel Club,Bogota,Abierto,Club de Pádel,1.0," $198,000"," $98,000",4.652344999999999,-74.0572072
Cafelia Padel Club,Pereira,Abierto,Club de Pádel,2.0," $115,000"," $40,000",4.817611111111111,-75.83388888888888
CAMPUS PADEL,Ibague,Abierto,Club de Pádel,2.0," $90,000"," $50,000",4.424234,-75.1811519
Cancha Central,Bogota,Abierto,Club de Pádel,1.0," $100,000"," $100,000",4.6956807,-74.029247
Canchas Pompilio Páez,Pereira,Abierto,Club de Pádel,1.0," $70,000"," $40,000",4.776574999999999,-75.76705630000001
Capital Pádel Club,Bogota,Abierto,Club de Pádel,3.0," $120,000"," $80,000",4.7194265,-74.0326595
Capital Padel Club Maloka,Bogota,Abierto,Club de Pádel,6.0," $190,000"," $90,000",4.656091000000001,-74.10980959999999
Carmel Club.,Bogota,Abierto,Club Privado,2.0,,,4.7399077,-74.05072779999999
Casa Antonio 1912,Bucaramanga,Abierto,Club de Pádel,1.0," $100,000"," $40,000",7.101649899999999,-73.18480290000001
Centro Deportivo Alejandro Falla,Medellin,Abierto,Club Deportivo MIxto,3.0," $150,000"," $100,000",6.118578599999998,-75.42816499999999
City Padel Medellín,Medellin,Abierto,Club de Pádel,2.0," $160,000"," $80,000",6.184414900000001,-75.55567250000001
Clan Padel - Chia,Bogota,Abierto,Club de Pádel,2.0," $117,000"," $63,000",4.882326499999999,-74.0403475
Club Campestre de Medellín,Medellin,Abierto,Club Privado,2.0,,,6.1896499,-75.576433
Club Campestre de Pereira,Pereira,Abierto,Club Privado,2.0,,,4.8034243,-75.8540535
Club Campestre Llanogrande,Medellin,Abierto,Club Privado,1.0,,,6.1133537,-75.4091612
Club de pádel Padel Land.,Sincelejo,Abierto,Club de Pádel,2.0," $105,000"," $50,000",9.304513499999999,-75.37906439999999
Club Deportivo Canaán - Canchas Sintéticas Fútbol,Pereira,Abierto,Club Deportivo MIxto,2.0," $135,000"," $60,000",4.7898988,-75.6929736
Club El Rancho,Bogota,Abierto,Club Privado,2.0,,,4.7735992,-74.04856769999999
Club Los Arrayanes,Bogota,Abierto,Club Privado,2.0,,,4.7891563,-74.0742578
Club Los Lagartos,Bogota,Abierto,Club Privado,2.0,,,4.702282299999999,-74.082696
club Sky Padel,Medellin,Abierto,Club de Pádel,3.0," $95,000"," $75,000",6.1812778,-75.4347592
Country Club Ejecutivos,Medellin,Abierto,Club Privado,2.0,,,6.2193355,-75.56064599999999
Country Padel Club,Bucaramanga,Abierto,Club de Pádel,5.0," $80,000"," $100,000",4.4685493,-75.7663779
Distrito Padel,Bogota,Abierto,Club de Pádel,5.0," $190,000"," $60,000",4.7524563,-74.0584378
El templo del Pádel,Medellin,Abierto,Club de Pádel,3.0," $160,000"," $80,000",6.1832232,-75.5866669
Elite Padel Club,Ibague,Abierto,Club de Pádel,4.0," $100,000"," $60,000",4.4186667,-75.18230559999999
